MOVIES,YEAR,GENRE,RATING,VOTES,RunTime
Spycraft,-2021,"
Documentary            ",6.7,"1,496",271.0
Gantz,-2004,"
Animation, Action, Comedy            ",7.2,"7,273",22.0
Lust Stories,-2018,"
Drama, Romance            ",6.4,"10,169",120.0
American Factory,-2019,"
Documentary            ",7.4,"19,411",110.0
Tales of the City,-1993,"
Drama, Mystery, Romance            ",8.3,"3,813",360.0
Blue Mountain State: The Rise of Thadland,-2016,"
Comedy, Sport            ",5.7,"15,091",90.0
Gleipnir,-2020,"
Animation, Action, Fantasy            ",6.9,994,24.0
Acrimony,-2018,"
Thriller            ",5.8,"8,263",120.0
Secrets of the Saqqara Tomb,-2020,"
Documentary, History            ",7.2,"5,433",113.0
Operation Varsity Blues: The College Admissions Scandal,-2021,"
Documentary, Crime, Drama            ",7.0,"6,745",100.0
LBJ,-2016,"
Biography, Drama, History            ",6.5,"6,303",98.0
Zapped,(2014 TV Movie),"
Comedy, Family, Fantasy            ",5.2,"4,517",102.0
The Bag Man,(I) (2014),"
Action, Crime, Drama            ",5.2,"16,620",108.0
The Princess Switch,-2018,"
Comedy, Drama, Family            ",6.1,"23,879",101.0
Viceroy's House,-2017,"
Biography, Drama, History            ",6.7,"7,296",106.0
The Letdown,(2017– ),"
Comedy            ",7.5,"2,908",30.0
Ibeon Saengeun Cheoeumira,-2017,"
Comedy, Drama, Romance            ",8.1,"3,166",70.0
Crip Camp,-2020,"
Documentary, History            ",7.7,"6,466",106.0
El marginal,(2016– ),"
Crime, Drama, Mystery            ",8.2,"3,022",60.0
Dogs,(2018– ),"
Documentary            ",8.1,"1,151",50.0
Advokaten,(2018– ),"
Crime, Drama, Mystery            ",7.0,"1,393",45.0
Ultraman,(2019– ),"
Animation, Action, Adventure            ",6.9,"1,688",25.0
Pets United,-2019,"
Animation, Adventure, Comedy            ",3.8,"2,200",89.0
Eastsiders,(2012– ),"
Drama            ",6.9,"2,460",115.0
Barbie Dreamhouse Adventures,(2018– ),"
Animation, Comedy, Family            ",6.8,414,22.0
Life's Too Short,(2011–2013),"
Comedy            ",7.5,"14,912",30.0
Shin'ya shokudô: Tokyo Stories,(2016–2019),"
Drama            ",8.4,"3,713",24.0
Une chance de trop,(2015– ),"
Drama, Thriller            ",7.2,"1,198",52.0
El tiempo entre costuras,(2013–2014),"
Adventure, Drama, History            ",8.3,"3,876",853.0
The Defiant Ones,-2017,"
Documentary, Biography, Crime            ",8.5,"12,686",60.0
The Most Hated Woman in America,-2017,"
Biography, Drama, History            ",6.1,"5,968",91.0
Shinya shokudô,(2009–2014),"
Drama            ",8.6,"1,680",24.0
Joshua,-2007,"
Drama, Horror, Thriller            ",5.9,"12,266",106.0
Haters Back Off!,(2016–2017),"
Comedy, Drama, Family            ",6.0,"6,956",30.0
I Am a Killer,(2018–2020),"
Documentary, Crime            ",7.4,"3,524",52.0
Berserk: Ougon Jidai-hen I - Haou no Tamago,-2012,"
Animation, Action, Adventure            ",7.6,"11,327",76.0
The Knight Before Christmas,-2019,"
Adventure, Comedy, Drama            ",5.6,"15,522",92.0
The Returned,-2015,"
Drama, Fantasy, Horror            ",7.1,"11,602",42.0
Shinibsagwan Goohaeryung,-2019,"
Drama, History, Romance            ",8.2,"1,391",35.0
Merlí,(2015–2018),"
Comedy, Drama, Romance            ",8.6,"7,545",58.0
Le jeu,-2018,"
Comedy, Drama            ",6.8,"13,364",90.0
The Perfect Host,-2010,"
Comedy, Crime, Thriller            ",6.8,"26,028",93.0
Ya no estoy aqui,-2019,"
Drama            ",7.3,"6,672",112.0
Hitler's Circle of Evil,-2018,"
Documentary, Biography, History            ",8.0,"3,579",52.0
Talking Tom and Friends,(2014– ),"
Animation, Action, Adventure            ",6.3,337,11.0
Herushingu,(2001–2002),"
Animation, Action, Fantasy            ",7.9,"15,227",23.0
The Body,(II) (2019),"
Mystery, Thriller            ",5.4,"3,062",101.0
Ai-naki mori de sakebe,-2019,"
Crime, Drama, Horror            ",6.3,"2,147",151.0
Free!,(2013– ),"
Animation, Comedy, Drama            ",7.4,"2,630",24.0
Special Correspondents,-2016,"
Comedy            ",5.8,"21,512",101.0
The Bletchley Circle: San Francisco,-2018,"
Crime, Drama, Mystery            ",6.9,"2,072",45.0
R.L. Stine's Monsterville: Cabinet of Souls,(2015 TV Movie),"
Comedy, Fantasy, Horror            ",5.7,"2,000",86.0
Kiss Me First,-2018,"
Drama, Mystery, Sci-Fi            ",6.3,"3,645",46.0
Marfa Girl,-2012,"
Drama            ",5.2,"1,561",105.0
Rebirth,(I) (2016),"
Thriller            ",5.0,"4,772",100.0
Mindhorn,-2016,"
Comedy, Thriller            ",6.3,"11,856",89.0
Much Loved,-2015,"
Drama            ",6.2,"2,535",104.0
Bombam,(2019– ),"
Drama, Romance            ",7.9,"1,739",35.0
Fun Mom Dinner,-2017,"
Comedy            ",5.3,"5,222",81.0
Il processo,(2019– ),"
Crime            ",7.0,"2,545",52.0
Darwin's Game,(2020– ),"
Animation, Action, Drama            ",7.3,"1,344",23.0
Quien a hierro mata,-2019,"
Action, Drama, Thriller            ",6.6,"6,591",107.0
Blood & Water,(2020– ),"
Drama, Mystery            ",6.4,"2,080",53.0
Homemade,(I) (2020– ),"
Drama            ",6.0,692,138.0
Saving Zoë,-2019,"
Crime, Drama, Mystery            ",5.3,"1,787",95.0
Akelarre,-2020,"
Adventure, Drama, History            ",6.3,"3,610",92.0
Dérapages,(I) (2020– ),"
Drama, Thriller            ",7.2,"3,340",52.0
Rust Valley Restorers,(2018– ),"
Documentary            ",7.8,"2,373",38.0
Wormwood,-2017,"
Documentary, Biography, Drama            ",7.0,"3,870",241.0
Keizersvrouwen,(2019– ),"
Crime, Drama            ",6.2,749,47.0
Ghost Wars,(2017–2018),"
Drama, Fantasy, Horror            ",6.3,"4,430",60.0
S.W.A.T.: Firefight,(2011 Video),"
Action, Crime, Thriller            ",5.3,"9,818",89.0
Jingle Jangle: A Christmas Journey,-2020,"
Family, Fantasy, Musical            ",6.5,"16,081",122.0
Mismatched,(2020– ),"
Comedy, Drama, Romance            ",5.5,"3,261",30.0
Rosario Tijeras,(2016–2019),"
Action, Crime, Drama            ",6.2,227,43.0
Boku wa tomodachi ga sukunai,(2011– ),"
Animation, Comedy, Drama            ",7.1,"1,975",25.0
The Land of Steady Habits,-2018,"
Comedy, Drama            ",6.2,"6,916",98.0
Open Season 2,(2008 Video),"
Animation, Adventure, Comedy            ",5.6,"22,618",76.0
The Scorpion King 3: Battle for Redemption,(2012 Video),"
Action, Fantasy            ",3.7,"8,178",105.0
Det som göms i snö,(2018– ),"
Crime, Drama, Mystery            ",7.4,"1,765",43.0
Baekilui Nanggoonnim,-2018,"
Action, Comedy, History            ",7.7,"1,328",75.0
12 Rounds 3: Lockdown,-2015,"
Action, Crime, Thriller            ",5.2,"4,021",90.0
Girlfriend's Day,-2017,"
Comedy, Drama            ",5.2,"3,707",65.0
The Great Hack,-2019,"
Documentary, Biography, History            ",7.1,"21,781",114.0
L'ultimo paradiso,-2021,"
Drama, Romance            ",5.6,"1,007",107.0
Tarde para la ira,-2016,"
Action, Crime, Drama            ",6.8,"11,231",92.0
Hataraku Saibou,(2018– ),"
Animation, Action, Comedy            ",7.6,"1,825",24.0
Step Sisters,-2018,"
Comedy            ",5.5,"4,220",108.0
BNA,-2020,"
Animation, Action, Fantasy            ",7.2,"1,893",23.0
Yeh Meri Family,-2018,"
Comedy, Drama, Family            ",9.1,"21,890",30.0
Lykke-Per,-2018,"
Drama            ",7.2,"5,308",162.0
Full Count,-2019,"
Drama, Fantasy, Sport            ",5.7,544,110.0
Isi & Ossi,-2020,"
Comedy, Romance            ",6.4,"7,200",113.0
Ugly,-2013,"
Crime, Drama, Mystery            ",8.0,"20,940",128.0
Tian sheng chang ge,-2018,"
Drama, History, Romance            ",8.6,"1,311",60.0
Qi Huan Zhi Lv,-2019,"
Drama, Fantasy, Mystery            ",5.9,"1,086",102.0
El aviso,-2018,"
Action, Adventure, Crime            ",5.9,"5,863",92.0
Lo spietato,-2019,"
Crime, Drama            ",6.1,"5,546",111.0
Ad Vitam,-2018,"
Crime, Drama, Mystery            ",6.5,"1,428",60.0
Spotless,(2015– ),"
Crime, Drama            ",7.8,"3,419",60.0
Les rivières pourpres,(2018– ),"
Crime, Mystery, Thriller            ",6.8,"1,236",60.0
Alien Warfare,-2019,"
Action, Sci-Fi            ",2.6,"3,185",88.0
El silencio de la ciudad blanca,-2019,"
Action, Adventure, Crime            ",5.2,"4,653",110.0
6 Below: Miracle on the Mountain,-2017,"
Biography, Drama, Sport            ",5.7,"6,916",98.0
Ssawooja Gwishina,-2016,"
Comedy, Fantasy, Romance            ",7.6,"1,964",60.0
Frontera Verde,(2019– ),"
Crime, Drama, Thriller            ",7.3,"2,264",41.0
Misha and the Wolves,-2021,"
Drama            ",7.1,93,90.0
Operation Christmas Drop,-2020,"
Comedy, Family, Romance            ",5.8,"9,647",95.0
The Repair Shop,(2017– ),"
Documentary, Reality-TV            ",8.7,"1,104",30.0
Cowspiracy: The Sustainability Secret,-2014,"
Documentary            ",8.2,"23,655",90.0
Ever After High,(2013–2017),"
Animation, Adventure, Comedy            ",8.0,821,25.0
Reality Z,(2020– ),"
Comedy, Horror            ",5.4,"2,183",30.0
The Sky Is Pink,-2019,"
Drama, Romance            ",7.6,"7,901",143.0
Busted! I Know Who You Are!,(2018–2021),"
Comedy, Reality-TV            ",7.7,747,90.0
Te3n,-2016,"
Drama, Mystery, Thriller            ",7.3,"12,303",136.0
Paava Kadhaigal,(2020– ),"
Drama            ",8.1,"5,524",36.0
The Death and Life of Bobby Z,-2007,"
Action, Crime, Thriller            ",5.8,"14,346",97.0
OtherLife,-2017,"
Crime, Drama, Mystery            ",6.3,"14,895",96.0
Girls with Balls,-2018,"
Comedy, Horror            ",3.8,"2,805",77.0
The Increasingly Poor Decisions of Todd Margaret,(2009–2016),"
Comedy            ",7.6,"6,233",25.0
Ali & the Queens,-2021,"
Comedy, Drama            ",7.1,791,100.0
Braqueurs,-2015,"
Action, Crime, Drama            ",6.3,"4,641",81.0
The Main Event,-2020,"
Action, Comedy, Family            ",4.8,"2,062",101.0
Coco avant Chanel,-2009,"
Biography, Drama            ",6.7,"39,401",105.0
La Doña,(2016– ),"
Drama, Romance            ",6.8,553,45.0
Richie Rich,-2015,"
Comedy            ",3.3,912,22.0
All Day and a Night,-2020,"
Drama            ",5.8,"3,301",121.0
Benji,(I) (2018),"
Crime, Drama, Family            ",6.3,"4,163",87.0
Atlantique,-2019,"
Drama, Mystery, Romance            ",6.7,"8,583",106.0
The Confession Killer,-2019,"
Documentary, Crime            ",7.4,"7,618",240.0
Violetta,(2012–2015),"
Drama, Family, Music            ",5.3,"2,207",45.0
Kemono Jihen,(2021– ),"
Animation, Action, Fantasy            ",7.5,922,24.0
Dongbaekkkot Pil Muryeop,-2019,"
Comedy, Drama, Romance            ",8.0,"1,793",30.0
Eojjeoda Balgyeonhan Haru,-2019,"
Comedy, Fantasy, Romance            ",7.9,"1,868",35.0
Killer Inside: The Mind of Aaron Hernandez,-2020,"
Documentary, Crime, Sport            ",7.4,"14,805",202.0
The House of Flowers: The Movie,-2021,"
Comedy, Drama            ",5.5,594,86.0
Shin seiki Evangelion Gekijô-ban: Shito shinsei,-1997,"
Animation, Action, Drama            ",7.5,"12,635",101.0
All Hail King Julien,(2014–2017),"
Animation, Adventure, Comedy            ",7.1,"1,708",23.0
Have a Good Trip: Adventures in Psychedelics,-2020,"
Documentary, Comedy            ",6.8,"6,753",85.0
The Hollow,(2018–2020),"
Animation, Drama, Family            ",7.2,"3,712",24.0
Irul,-2021,"
Mystery, Thriller            ",5.8,"2,627",91.0
L'immortel,-2010,"
Action, Crime, Drama            ",6.7,"33,510",117.0
Power Rangers Dino Charge,(2015–2016),"
Action, Adventure, Family            ",6.5,"1,200",21.0
When Heroes Fly,(2018– ),"
Action, Drama            ",7.2,"2,666",45.0
Little Things,(2016– ),"
Comedy, Romance            ",8.3,"4,958",16.0
Les affamés,-2017,"
Action, Adventure, Drama            ",5.8,"8,625",104.0
Hardy Bucks,(2010– ),"
Comedy            ",8.3,773,30.0
Tokyo Trial,-2016,"
Drama, History            ",7.4,"1,381",45.0
Ashes of Love,-2018,"
Comedy, Fantasy, Romance            ",8.4,"1,577",45.0
Project Mc²,(2015– ),"
Family            ",6.0,838,26.0
Out in the Dark,-2012,"
Crime, Drama, Romance            ",7.5,"8,009",96.0
Once Upon a Time in London,-2019,"
Crime            ",5.6,"5,578",111.0
Namjachingoo,(2018–2019),"
Drama, Romance            ",7.2,940,60.0
Merry Happy Whatever,-2019,"
Comedy            ",6.3,"4,010",26.0
A Shaun the Sheep Movie: Farmageddon,-2019,"
Animation, Adventure, Comedy            ",6.8,"12,154",86.0
Il Divin Codino,-2021,"
Biography, Drama, Sport            ",6.1,"3,523",91.0
Anima,(I) (2019),"
Short, Music            ",7.7,"10,114",15.0
Jonas,(2018 TV Movie),"
Drama, Mystery, Romance            ",7.0,"4,948",82.0
Errementari,-2017,"
Fantasy, Horror            ",6.4,"10,462",98.0
If Anything Happens I Love You,-2020,"
Animation, Short, Drama            ",7.8,"13,086",13.0
Was wir wollten,-2020,"
Drama            ",5.8,"1,545",93.0
Pokémon: Mewtwo Strikes Back - Evolution,-2019,"
Animation, Action, Family            ",5.7,"4,870",98.0
ADN,-2020,"
Drama            ",5.9,733,90.0
Ssanggabpocha,-2020,"
Comedy, Fantasy, Mystery            ",8.1,"1,414",70.0
The Stranger,-1946,"
Crime, Drama, Film-Noir            ",7.4,"25,188",95.0
Home for Christmas,(2019–2020),"
Comedy, Drama, Romance            ",7.7,"11,139",29.0
Walk. Ride. Rodeo.,-2019,"
Biography, Drama            ",6.4,"2,114",100.0
Marseille,(2016–2018),"
Drama            ",6.9,"4,830",41.0
Wildflower,(II) (2014),"
Drama, Thriller            ",5.3,866,92.0
A Cinderella Story: Christmas Wish,(2019 Video),"
Comedy, Family, Fantasy            ",5.3,"5,237",85.0
Damascus Cover,-2017,"
Thriller            ",5.2,"2,574",93.0
Yojôhan shinwa taikei,-2010,"
Animation, Comedy, Drama            ",8.5,"3,362",253.0
Ofrenda a la tormenta,-2020,"
Crime, Thriller            ",6.2,"5,473",139.0
Jenni Rivera: Mariposa de Barrio,(2017– ),"
Drama, Musical            ",7.3,211,45.0
Bruised,-2020,"
Drama, Sport            ",7.2,47,129.0
Shinchô yûsha ~ kono yûsha ga ore TUEEE kuse ni shinchô sugiru ~,-2019,"
Animation, Action, Adventure            ",7.4,"1,657",23.0
The Disciple,-2020,"
Drama, Music            ",7.2,"1,686",129.0
Pariah,(I) (2011),"
Drama            ",7.2,"6,525",86.0
Bonusfamiljen,(2017– ),"
Comedy, Drama            ",7.6,"2,864",44.0
Boy Meets Girl,(I) (2014),"
Comedy, Drama, Romance            ",7.1,"4,391",95.0
Børning 3,-2020,"
Action, Comedy            ",5.1,"1,916",100.0
Sonic Boom,(2014–2017),"
Animation, Short, Action            ",6.9,"5,452",11.0
Video Game High School,(2012–2014),"
Action, Romance, Sci-Fi            ",7.6,"12,922",42.0
Berserk: Ougon jidai-hen III - Kourin,-2013,"
Animation, Action, Adventure            ",7.9,"8,987",110.0
Operation Avalanche,-2016,"
Drama, Mystery, Thriller            ",6.1,"6,983",94.0
AK vs AK,-2020,"
Action, Comedy, Crime            ",6.9,"12,797",108.0
Rugal,(2020– ),"
Action, Crime, Sci-Fi            ",6.4,672,60.0
Yojo Senki: Saga of Tanya the Evil,(2017– ),"
Animation, Action, Adventure            ",7.6,"2,461",24.0
Legado en los huesos,-2019,"
Crime, Thriller            ",6.3,"7,865",121.0
El vecino,(2019–2021),"
Action, Comedy            ",6.6,"1,945",30.0
Inside the World's Toughest Prisons,(2016–2021),"
Documentary            ",7.1,"2,457",47.0
Mobeomhyungsa,-2020,"
Action, Drama, Mystery            ",7.5,488,60.0
Midnight at the Magnolia,-2020,"
Comedy, Romance            ",5.8,"4,392",87.0
Betaal,(2020– ),"
Action, Horror, Thriller            ",5.4,"8,261",46.0
Dealin' with Idiots,-2013,"
Comedy            ",5.4,"1,306",88.0
Trailer Park Boys: The Animated Series,(2019–2020),"
Animation, Comedy            ",7.5,"2,531",25.0
Smurfs,(1981–1989),"
Animation, Adventure, Comedy            ",7.2,"16,790",30.0
Glacé,(2016– ),"
Crime, Drama, Mystery            ",6.3,"3,384",52.0
Yuyeolui eumagaelbeom,-2019,"
Drama, Romance            ",7.1,"2,822",122.0
Ju-on: Origins,-2020,"
Drama, Horror, Mystery            ",6.1,"3,932",30.0
Coisa Mais Linda,(2019– ),"
Drama, Romance            ",7.9,"3,071",45.0
Mercy,(IV) (2016),"
Drama, Mystery, Thriller            ",4.2,"3,165",90.0
Sisters,-2017,"
Drama            ",7.5,"1,554",60.0
Bankier van het verzet,-2018,"
Biography, Drama, War            ",6.9,"8,574",123.0
Kiss the Ground,-2020,"
Documentary            ",8.3,"5,736",84.0
Habaekui Shinboo,-2017,"
Fantasy, Romance            ",6.9,"1,921",70.0
Zero,(2021– ),"
Action, Comedy, Drama            ",5.7,"1,047",27.0
Shimoneta to Iu gainen ga sonzai shinai taikutsu na sekai,(2015– ),"
Animation, Comedy            ",7.0,"1,797",22.0
Misaeng,-2014,"
Drama            ",8.6,"1,509",60.0
Mr. Roosevelt,-2017,"
Comedy            ",6.3,"3,033",90.0
She,(2020– ),"
Crime, Drama            ",6.5,"3,086",36.0
Si shi qing chun,-2018,"
Animation, Drama, Romance            ",6.6,"6,342",74.0
Mystery Science Theater 3000: The Return,(2017–2018),"
Comedy, Drama, Horror            ",8.0,"3,405",90.0
Carnaval,-2021,"
Comedy            ",3.9,679,94.0
Geunyeoneun yeppeodda,-2015,"
Comedy, Romance            ",7.7,"4,012",60.0
Fariña,-2018,"
Crime, Drama, Thriller            ",7.9,"3,399",95.0
Why Did You Kill Me?,-2021,"
Documentary, Crime            ",5.6,"3,378",83.0
Bombay Begums,(2021– ),"
Drama            ",4.9,"3,615",50.0
Blanche comme neige,-2019,"
Comedy, Drama            ",5.3,921,112.0
Ban-deu-si jab-neun-da,-2017,"
Crime, Drama, Mystery            ",6.6,"2,511",110.0
Roohi,-2021,"
Comedy, Horror            ",4.3,"6,809",134.0
Contracted,-2013,"
Drama, Horror, Thriller            ",5.3,"14,668",84.0
Uncorked,(I) (2020),"
Drama            ",6.3,"4,839",104.0
Vaioretto evâgâden gaiden: Eien to jidou shuki ningyou,-2019,"
Animation, Drama, Family            ",7.5,"3,148",90.0
XX,-2017,"
Horror            ",4.6,"11,394",80.0
Iris,(III) (2016),"
Drama, Thriller            ",6.1,"3,831",99.0
Tallulah,-2016,"
Comedy, Drama, Romance            ",6.7,"19,219",111.0
100 metros,-2016,"
Biography, Comedy, Drama            ",7.5,"5,856",108.0
Marlon,(2017–2018),"
Comedy            ",7.1,"3,738",22.0
La Corazonada,-2020,"
Crime, Thriller            ",5.4,"2,361",116.0
Hou lai de wo men,-2018,"
Drama, Romance            ",7.4,"3,425",120.0
Palmeras en la nieve,-2015,"
Drama, Romance            ",7.4,"11,309",163.0
Mascots,-2016,"
Comedy            ",5.8,"6,973",89.0
Enrico Piaggio: Vespa,(2019 TV Movie),"
Biography, Drama, Romance            ",6.9,"2,353",102.0
Nobel,-2016,"
Drama, Thriller, War            ",8.1,"6,041",45.0
Gnome Alone,-2017,"
Animation, Adventure, Comedy            ",5.6,"3,115",85.0
Revenger,-2018,"
Action, Crime, Thriller            ",5.7,"3,950",101.0
Sudden Fear,-1952,"
Film-Noir, Thriller            ",7.5,"5,679",110.0
Sonic X,(2003–2006),"
Animation, Action, Adventure            ",6.2,"3,994",30.0
Ajin,(2016– ),"
Animation, Action, Adventure            ",7.6,"5,606",24.0
Fearless,-2020,"
Animation, Comedy, Family            ",4.9,"1,420",89.0
Sebelum Iblis Menjemput,-2018,"
Horror, Mystery, Thriller            ",6.0,"3,765",110.0
The Investigator: A British Crime Story,(2016–2018),"
Documentary, Crime            ",5.7,"1,652",47.0
Zeitgeist,(2007 Video),"
Documentary, History            ",8.1,"48,656",118.0
Temple,-2017,"
Adventure, Drama, Horror            ",3.6,"4,761",78.0
Life in Colour,(2021– ),"
Documentary            ",8.3,"2,173",59.0
Swiped,(I) (2018),"
Comedy, Romance            ",3.0,"11,048",93.0
Fear City: New York vs the Mafia,-2020,"
Documentary, Crime            ",7.1,"6,352",156.0
How to Plan an Orgy in a Small Town,-2015,"
Comedy, Drama            ",5.5,"3,172",101.0
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,-2019,"
Documentary, Biography, History            ",7.6,"5,987",142.0
Yuragi-sou no Yuuna-san,(2018– ),"
Animation, Comedy, Fantasy            ",6.8,333,24.0
Bala,-2019,"
Comedy            ",7.3,"12,716",133.0
Rozario to banpaia,-2008,"
Animation, Comedy, Fantasy            ",7.0,"2,732",25.0
Cheese in the Trap,-2016,"
Comedy, Romance            ",7.4,"3,348",60.0
Kidou Senshi Gundam: Tekketsu no Orphans,(2015– ),"
Animation, Action, Drama            ",7.9,"1,382",24.0
"Money, Explained",-2021,"
Documentary            ",6.9,"1,451",23.0
Eulachacha Waikiki,(2018–2019),"
Comedy, Drama            ",8.3,"1,499",65.0
Frozen Planet,(2011–2012),"
Documentary            ",9.0,"27,986",333.0
Si no t'hagués conegut,-2018,"
Drama, Fantasy, Romance            ",7.7,"1,936",60.0
The Last Laugh,(I) (2019),"
Comedy            ",5.6,"5,277",98.0
Serious Men,-2020,"
Comedy, Drama            ",6.8,"6,610",114.0
Hot Bot,-2016,"
Comedy, Sci-Fi            ",3.4,"3,581",86.0
El Final del Paraíso,(2019– ),"
Action, Drama            ",5.5,164,44.0
La dictadura perfecta,-2014,"
Comedy, Drama            ",7.2,"4,902",143.0
Jack Whitehall: Travels with My Father,(2017– ),"
Documentary, Comedy            ",7.7,"4,249",30.0
Lady Driver,-2020,"
Sport            ",5.9,"1,115",104.0
Intramural,-2014,"
Comedy, Sport            ",4.4,"1,411",100.0
The Breaker Upperers,-2018,"
Comedy            ",5.9,"5,672",90.0
Typewriter,-2019,"
Horror, Mystery, Thriller            ",6.5,"3,596",48.0
Lady Dynamite,(2016–2017),"
Comedy            ",7.4,"3,414",30.0
The Polka King,-2017,"
Biography, Comedy, Drama            ",5.9,"9,662",95.0
Ares,-2020,"
Drama, Horror, Mystery            ",5.6,"3,974",32.0
Ghost in the Shell SAC_2045,(2020– ),"
Animation, Action, Crime            ",6.3,"1,718",25.0
Osmosis,-2019,"
Romance, Sci-Fi            ",5.9,"2,733",55.0
Der kommer en dag,-2016,"
Drama            ",7.9,"4,234",119.0
Je ne suis pas un homme facile,-2018,"
Comedy            ",6.3,"13,208",98.0
Dick Johnson Is Dead,-2020,"
Documentary, Drama            ",7.5,"5,454",89.0
The Wiggles,(1998– ),"
Adventure, Comedy, Family            ",5.9,805,30.0
Diablero,(2018– ),"
Adventure, Drama, Fantasy            ",6.7,"2,318",40.0
Deadly Switch,-2019,"
Mystery, Thriller            ",4.5,"1,124",87.0
Oktoberfest: Beer & Blood,-2020,"
Drama, History, Thriller            ",6.8,"1,795",288.0
La influencia,-2019,"
Horror            ",4.5,"3,340",99.0
Aggretsuko,(2018– ),"
Animation, Comedy, Drama            ",8.1,"5,196",15.0
Solo,(II) (2018),"
Adventure, Biography, Drama            ",5.0,"2,546",91.0
Love Jacked,-2018,"
Comedy, Romance            ",5.8,"1,775",100.0
Audible,-2021,"
Documentary, Short, Sport            ",5.3,119,39.0
Und morgen die ganze Welt,-2020,"
Crime, Drama, Romance            ",6.0,"1,928",111.0
Just Say Yes,-2021,"
Comedy, Romance            ",4.5,"1,630",97.0
Power Rangers Megaforce,(2000–2014),"
Action, Adventure, Family            ",5.7,"1,495",24.0
Skylanders Academy,(2016–2018),"
Animation, Action, Adventure            ",6.6,636,25.0
The Millionaire Detective: Balance - Unlimited,-2020,"
Animation, Crime, Drama            ",7.4,"1,105",23.0
XOXO,-2016,"
Drama, Music            ",5.3,"6,809",92.0
High Score,-2020,"
Documentary, History            ",7.4,"6,851",252.0
The Numbers Station,-2013,"
Action, Thriller            ",5.6,"19,590",89.0
The Unauthorized Bash Brothers Experience,-2019,"
Short, Comedy, Music            ",6.9,"4,732",30.0
TharnType,(2019– ),"
Romance            ",8.2,917,52.0
Fake or Fortune?,(2010– ),"
Documentary            ",8.6,504,63.0
Zombieland Saga,(2018– ),"
Animation, Action, Comedy            ",7.0,893,24.0
One Strange Rock,(2018– ),"
Documentary            ",8.8,"7,223",47.0
Barry,(II) (2016),"
Biography, Drama            ",5.8,"6,821",104.0
The Trap,(III) (2019),"
Comedy            ",4.3,"1,417",90.0
We the People,(2021– ),"
Animation, Short, Comedy            ",4.6,202,3.0
Killer Ratings,-2019,"
Documentary, Crime            ",7.7,"1,423",351.0
Mademoiselle de Joncquières,-2018,"
Drama, Romance            ",6.9,"3,033",109.0
Huge in France,-2019,"
Comedy            ",6.8,"2,594",30.0
Abzurdah,-2015,"
Biography, Drama, Romance            ",5.4,"1,945",90.0
Guilt,-2016,"
Crime, Drama, Mystery            ",6.0,"2,540",60.0
El Club,(2019– ),"
Comedy, Drama            ",6.3,748,30.0
The Forty-Year-Old Version,-2020,"
Comedy, Drama            ",7.2,"4,348",123.0
Ma-yak-wang,-2018,"
Action, Crime, Drama            ",6.2,"2,719",139.0
Bling Empire,(2021– ),"
Reality-TV            ",5.8,"2,271",38.0
Miss Americana,-2020,"
Documentary, Biography, Music            ",7.4,"17,209",85.0
An Affair to Die For,-2019,"
Horror, Thriller            ",4.8,"1,853",82.0
"Sex, Explained",-2020,"
Documentary            ",6.9,"2,758",111.0
Dark Tourist,-2018,"
Documentary            ",7.5,"6,507",40.0
Selva trágica,-2020,"
Drama, Mystery            ",5.6,621,96.0
Seis Manos,(2019– ),"
Animation, Action, Adventure            ",7.2,"1,295",27.0
Nihon Chinbotsu 2020,(2020– ),"
Animation, Adventure, Drama            ",6.4,"2,553",25.0
Win It All,-2017,"
Comedy            ",6.2,"8,626",88.0
Sardar Ka Grandson,-2021,"
Comedy, Drama, Romance            ",4.2,"4,007",139.0
Disclosure: Trans Lives on Screen,-2020,"
Documentary            ",8.2,"4,586",108.0
Gangcheolbi,-2017,"
Action, Drama, Thriller            ",7.1,"4,928",139.0
Kureyon Shinchan,(1992– ),"
Animation, Comedy, Family            ",8.2,449,25.0
V/H/S Viral,-2014,"
Horror, Thriller            ",4.2,"15,520",81.0
Inosensu: Innocence,-2004,"
Animation, Action, Drama            ",7.5,"37,017",100.0
The Pharmacist,-2020,"
Documentary, Crime            ",7.7,"6,140",217.0
Bajo la piel de lobo,-2017,"
Action, Adventure, Drama            ",5.8,"2,744",110.0
Mrs. Serial Killer,-2020,"
Crime, Drama, Thriller            ",4.8,"13,494",106.0
100-man no Inochi no Ue ni Ore wa Tatte Iru,(2020– ),"
Animation, Action, Adventure            ",6.4,439,23.0
Eerie,-2018,"
Horror, Mystery, Thriller            ",4.7,"2,100",101.0
Sul più bello,-2020,"
Comedy, Drama, Romance            ",5.4,333,91.0
Sulla Stessa Onda,-2021,"
Drama, Romance, Sport            ",5.7,961,99.0
Qu'est-ce qu'on a encore fait au bon Dieu?,-2019,"
Comedy, Drama            ",6.1,"6,690",99.0
The Lizzie Borden Chronicles,-2015,"
Crime, Drama, Horror            ",7.0,"3,945",337.0
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",-2017,"
Documentary            ",7.7,"24,231",94.0
Giruti kuraun: Guilty Crown,(2011–2012),"
Animation, Action, Romance            ",7.1,"4,447",23.0
The Cuba Libre Story,-2016,"
Documentary, History            ",7.7,"1,432",52.0
